,Body,Tag
18,"@jeff  i actually think this is an interesting question. i'm not sure how useful it is, but it is a valid question.  @ed  can you provide a little more info on this question  you said the dimension of the array is dynamic, but is the number of elements dynamic as well   edit: i'm going to try and answer the question anyways. i can't give you the code off the top of my head (it would take a while to get it right without any compiler here on this pc), but i can point you in the right direction ...  let's use 8 dimensions (0-7) with indexes 0 to 3 as an example. you care about only 1,2 and 6. this means you have two arrays. first, array_care[4][4][4] for 1,2, and 6. the array_care[4][4][4] will hold the end result.  next, we want to iterate in a very specific way. we have the array input[4][4][4][4][4][4][4][4] to parse through, and we care about dimensions 1, 2, and 6.  we need to define some temporary indexes:  int dim[8] = {0,0,0,0,0,0,0,0};   we also need to store the order in which we want to increase the indexes:  int increase_index_order[8] = {7,5,4,3,0,6,2,1}; int i = 0;   this order is important for doing what you requested.  define a termination flag:  bool terminate=false;   now we can create our loop:  while (terminate) { array_care[dim[1]][dim[2]][dim[6]] += input[dim[0]][dim[1]][dim[2]][dim[3]][dim[4]][dim[5]][dim[6]][dim[7]];  while ((dim[increase_index_order[i]] = 3) &amp;&amp; (i &lt; 8)) { dim[increase_index_order[i]]=0; i++; }  if (i &lt; 8) { dim[increase_index_order[i]]++; i=0; } else { terminate=true; } }   that should work for 8 dimensions, caring about 3 dimensions. it would take a bit more time to make it dynamic, and i don't have the time. hope this helps. i apologize, but i haven't learned the code markups yet. :( ",c++ c arrays microsoft-dynamics
19,"the following will work  &lt;%= post.find_unread_by(current_user).size %&gt;   or  &lt;%= post.find_unread_by(current_user).length %&gt;   however if you check your development.log you should see that it gets the unread count by    retrieving all the posts retrieving all the posts read by the user removing all of 2. from 1. in ruby   this will be very bad performance wise with lots of posts.   a better way would be to retrieve the posts read by the current user and then use activerecord::calculations to get a count without retrieving all the posts in the database  post.count(:conditions =&gt; [ ""id not in ( )"", post.find_read_by(current_user)])   this should go into your post model to follow best practices of not having finders in the view  or controller   post.rb  def self.unread_post_count_for_user(user)   count(:conditions =&gt; [ ""id not in ( )"", post.find_read_by(user)]) end   then your view will just be  &lt;%= post.unread_post_count_for_user(current-user) %&gt;  ",ruby-on-rails ruby plugins
20,"encrypting the session value will have zero effect. the session cookie is already an arbitrary value, encrypting it will just generate another arbitrary value that can be sniffed.  the only real solution is https. if you don't want to do ssl on your whole site (maybe you have performance concerns), you might be able to get away with only ssl protecting the sensitive areas. to do that, first make sure your login page is https. when a user logs in, set a secure cookie (meaning the browser will only transmit it over an ssl link) in addition to the regular session cookie. then, when a user visits one of your ""sensitive"" areas, redirect them to https, and check for the presence of that secure cookie. a real user will have it, a session hijacker will not.  edit: this answer was originally written in 2008. it's 2016 now, and there's no reason not to have ssl across your entire site. no more plaintext http  ",security session cookies
21,set a short timeout   does isoutputshutdown() not get you what you want   you could always build a socketwatcher class that spins up in its own thread and repeatedly tries to write empty strings to the socket until that raises a socketclosedexception. ,java exception sockets networking
22,"in our scenario, we have a separate file server that both of our front end app servers write to, that way you either server has access to the same sets of files. ",asp.net iis-6 windows-server-2003 cluster-computing failover
23,"this is much more concise:  where    datediff(day, date1, date2) = 0  ",sql sql-server tsql datetime user-defined-functions
24,"there may be some confusion here about what ""k&amp;r c"" is. the term refers to the language as documented in the first edition of ""the c programming language."" roughly speaking: the input language of the bell labs c compiler circa 1978.  kernighan and ritchie were involved in the ansi standardization process. the ""ansi c"" dialect superceded ""k&amp;r c"" and subsequent editions of ""the c programming language"" adopt the ansi conventions. ""k&amp;r c"" is a ""dead language,"" except to the extent that some compilers still accept legacy code. ",c kr-c c89
25,"in most firewall setups, the tcp connection will be torn down by the firewall if it is idle to conserve resources. the idle timeout is probably not something you can control. some will tear them down if they are idle and a resource limit is being hit.  most corp environments won't allow any machines to make an outbound tcp connection anyway.  also, using this mechanism means you are going to have scaling problems. i think more reliable solution is to queue up information and have your clients poll for them regularly. utilize caching if possible such that a subsequent client poll will get the cached data from the customers proxy cache, if they are using one.  if you have to push data in a timely manner, in sub-second land (i.e. financial services), then consider some messaging infrastructure such an nservicebus distributor on client side, but that will require a customer install...  so have you tried using toredo  having read that it would appear there it is prob too complicated for a user to setup. ",.net wcf firewall push duplex
26,"i think the way to do(get around) this problem is to develop a ""./configure &amp;&amp; make"" script that your client uses to install, specify and compile the binaries. that would offcourse require that the client has all the source-code installed on his server or you can make it available on an nfs share. ",apache unix httpserver
27,i think you need to use display: block on your images. when images are inline there's a little extra space for the line spacing. ,html css
28,"bear in mind that the entlib documentation specifically steers you towards the asp.net cache for asp.net applications. that's probably the strongest recommendation towards using it here. plus the entlib cache doesn't have dependencies, which for me is a big reason not to use it.  i don't think there's a technical limitation as such on shipping system.web as part of your app, though it's slightly odd that they've put that notice in on the .net 3.5 page. hanselman actually says he started out being creeped out by this notion, but became convinced. also if you read the comments, he says that the block has too many moving parts and the asp.net cache is much more lightweght. i think this is exactly the kind of problem that velocity is going to solve, but that's only a preview for now :-(    i'd say use web.caching and see how you get on. if you put some kind of abstraction layer over the top of it, you've always got the option to swap it out for the entlib block later on if you find problems. ",caching .net-2.0 memcached enterprise-library
29,"the following (c#) code should do the trick  uri uri = new uri(""http://www.mywebsite.com:80/pages/page1.aspx""); string requested = uri.scheme + uri.schemedelimiter + uri.host + "":"" + uri.port;  ",.net asp.net url uri authority
30,"i finally got multisampling working with my wxwidgets opengl program. it's a bit messy right now, but here's how:  wxwidgets doesn't have multisampling support in their stable releases right now (latest version at this time is 2.8.8). but, it's available as a patch and also through their daily snapshot. (the latter is heartening, since it means that the patch has been accepted and should appear in later stable releases if there are no issues.)  so, there are 2 options:   download and build from their daily snapshot. get the patch for your working wxwidgets installation.   i found the 2nd option to be less cumbersome, since i don't want to disturb my working installation as much as possible. if you don't know how to patch on windows, see this.  at the very least, for windows, the patch will modify the following files:  $(wx_widgets_root)/include/wx/glcanvas.h $(wx_widgets_root)/include/wx/msw/glcanvas.h $(wx_widgets_root)/src/msw/glcanvas.cpp   after patching, recompile the wxwidgets libraries.  to enable multisampling in your wxwidgets opengl program, minor changes to the code are required.  an attribute list needs to be passed to the wxglcanvas constructor:  int attriblist[] = {wx_gl_rgba,                     wx_gl_doublebuffer,                     wx_gl_sample_buffers, gl_true, // multi-sampling                     wx_gl_depth_size, 16,                     0, 0};   if you were already using an attribute list, then add the line with gl_sample_buffers, gl_true to it. else, add this attribute list definition to your code.  then modify your wxglcanvas constructor to take this attribute list as a parameter:  myglframe::myglframe    // derived from wxglcanvas (     wxwindow *parent,     wxwindowid id,     const wxpoint&amp; pos,     const wxsize&amp; size,     long style,     const wxstring&amp; name ) : wxglcanvas(parent, (wxglcanvas*) null, id, pos, size, style, name, attriblist) {     // ... }   after the wxglcanvas element is created, multisampling is turned on by default. to disable or enable it at will, use the related opengl calls:  glenable(gl_multisample); gldisable(gl_multisample);   multisampling should now work with the wxwidgets opengl program. hopefully, it should be supported in the stable release of wxwidgets soon, making this information irrelevant :-) ",opengl wxwidgets multisampling
31,"well, if it support python, you might be able to run django using a fastcgi setup, as described here: fastcgi docs. if it supports mod_python (which i guess it's what you mean), then sure, you can install it using the steps listed here: modpython docs ",django shared-hosting hostmonster
32,"linq is not about sql. linq is about being apply functional programming paradigmns on objects.  linq to sql is an orm built ontop of the linq foundation, but linq is much more. i don't use linq to sql, yet i use linq all the time.  take the task of finding the intersection of two lists:  before linq, this tasks requires writing a nested foreach that iterates the small list once for every item in the big list o(n*m), and takes about 10 lines of code.  foreach (int number in list1) {     foreach (int number2 in list2)     {         if (number2 == number)         {             returnlist.add(number2);         }     } }   using linq, it does the same thing in one line of code:  var results = list1.intersect(list2);   you'll notice that doesn't look like linq, yet it is. you don't need to use the expression syntax if you don't want to. ",c# sql linq
33,not that i know of. this has been a plague of windows versions for quite some time. ,windows configuration
34,"i think you should look at silverlight as a long-term play, just as microsoft seems to be doing. there's an obvious balance on when to use silverlight vs. flash when you're concerned about reach and install base, but here are some reasons silverlight is a good direction to move in:   second mover advantage - just as microsoft built a ""better java"" with .net, they're able to look at how you'd design a ria plugin from scratch, today. they have the advantage of knowing how people use the web today, something the inventors of flash could never have accurately guessed. flash can add features, but they can't realistically chuck the platform and start over. developer familiarity - while silverlight is a new model, it's not entirely unfamiliar to developers. they'll ""get"" the way silverlight works a lot more quickly than they'll understand firing up a new development environment with a new scripting language and new event paradigms. being rid of the timeline model in flash - flash was originally built for keyframe based animations, and while there are ways to abstract this away, it's at the core of how flash works. silverlight ditches that for an application-centric model.  scottgu - scottgu is fired up about silverlight. nuff said. cool new features - while silverlight still has some catching up to do with flash on some obvious features (like webcam / mic integration, or 3d / graphics acceleration), there are some slick new technologies built in to silverlight - deep zoom is one example. i'm seeing more ""revolutionary"" technologies on the silverlight side, while flash seems to be in maintenance mode at this point.  ",.net flex flash silverlight
35,"can you give us some more information on how you add the combo boxes to the jpanel   this is a pretty common thing to do in swing so i doubt that it's a jvm issue but i guess anything is possible.  specifically, i would double check to make sure you're not accessing the gui from any background threads.  in this case, maybe you're reading the choices from a db or something and updating the jcombobox from a background thread, which is a big no-no in swing.  see swingutils.invokelater(). ",java swing jpanel
36,"this is not directly an answer, but     the thing is that to remove the disk you have to eject the volume and in this case do it for both volumes   i have a similar situation.  osx remembers where you put your icons on the desktop - i've moved the icons for both of my removable drives to just above where the trash can lives.  eject procedure becomes   hit top-left of screen with mouse to show desktop drag small box around both removable drives drag 2cm onto trash so they both get ejected remove firewire cable  ",osx hardware
37,"from msdn:     when this option is set, it is possible to read uncommitted or dirty data; values in the data can be changed and rows can appear or disappear in the data set before the end of the transaction.    simply put, when you are using this isolation level, and you are performing multiple queries on an active table as part of one transaction, there is no guarantee that the information returned to you within different parts of the transaction will remain the same. you could query the same data twice within one transaction and get different results (this might happen in the case where a different user was updating the same data in the midst of your transaction). this can obviously have severe ramifications for parts of your application that rely on data integrity. ",sql sql-server
38,"there's no need for the javascript function, the first argument to externalinterface can be any javascript code, it doesn't have to be a function name (the documentation says so, but it is wrong).  try this:  externalinterface.call(""alert('hello')"");  ",javascript flex exploit
39,"i would use a hidden richtextbox, set the rtf member, then retrieve the text member to sanitize the rtf in a well-supported way.  then i would use manually inject the desired formatting afterwards. ",.net vb.net ms-word rtf
40,"you sound as if you're looking for three major things: code templates, refactoring tools, and auto-completion.  the good news is that xcode 3 and later come with superb auto-completion and template support.  by default, you have to explicitly request completion by hitting the escape key.  (this actually works in all nstextviews; try it )  if you want to have the completions appear automatically, you can go to preferences -> code sense and set the pop-up to appear automatically after a few seconds.  you should find good completions for c and objective-c code, and pretty good completions for c++.  xcode also has a solid template/skeleton system that you can use.  you can see what templates are available by default by going to edit -> insert text macro.  of course, you don't want to insert text macros with the mouse; that defeats the point.  instead, you have two options:   back in preferences,go to key bindings, and then, under menu key bindings, assign a specific shortcut to macros you use often.  i personally don't bother doing this, but i know plenty of great mac devs who do use the completionprefix.  by default, nearly all of the templates have a special prefix that, if you type and then hit the escape key, will result in the template being inserted.  you can use control-/ to move between the completion fields.  you can see a full list of xcode's default macros and their associated completionprefixes at crooked spin.  you can also add your own macros, or modify the defaults.  to do so, edit the file /developer/library/xcode/specifications/{c,html}.xctxtmacro.  the syntax should be self-explanatory, if not terribly friendly.   unfortunately, if you're addicted to r#, you will be disappointed by your refactoring options.  basic refactoring is provided within xcode through the context menu or by hitting shift-apple-j.  from there, you can extract and rename methods, promote and demote them through the class hierarchy, and a few other common operations.  unfortunately, neither xcode nor any third-party utilities offer anything approaching resharper, so on that front, you're currently out of luck.  thankfully, apple has already demonstrated versions of xcode in the works that have vastly improved refactoring capabilities, so hopefully you won't have to wait too long before the situation starts to improve. ",objective-c xcode osx refactoring
41,"the number one rule is do not just ask for status updates.  it is especially annoying when phrases like ""where are we on this "" are used.   if you aren't directly involved in the details then just make sure you have established communication times or plans so that you know whats going on rather than asking for updates. ",.net project-management
42,"i don't really know javascript, but couldn't you create a stack of windows  ",javascript
43,"you can use a datalist control instead. it has a repeatcolumns property that you can define the number of columns you want to display.  in .net framework 3.5, there is an even better solution, the listview control. you can find further information about how to use the listview control here. ",asp.net gridview infragistics ultrawebgrid
44,"javascript offers 3 modal boxes.  prompt, confirm and alert.  none of those satisfy your request.    there are a plethora of js modal popup solutions.  here's an example.   modalbox  ",javascript
45,"   i want to add a rule that checks for   the presence of a folder.jpg file in   each directory, but to add this would   make the code substantially more messy   in it's current state..   this doesn't look bad.  in fact your current code does it very nicely, and sven mentioned a good way to do it as well:   get a list of all the files check for ""required"" files   you would just have have add to your dictionary a list of required files:  checker = {   ...   'required': ['file', 'list', 'for_required'] }   as far as there being a better/extensible way to do this   i am not exactly sure.  i could only really think of a way to possibly drop the ""multiple"" regular expressions and build off of sven's idea for using a delimiter.  so my strategy would be defining a dictionary as follows (and i'm sorry i don't know python syntax and i'm a tad to lazy to look it up but it should make sense.  the /regex/ is shorthand for a regex):  check_dict = {   'delim'    : /\-/,   'parts'    : [ 'show name', 'episode name', 'episode number' ],   'patterns' : [/valid name/, /valid episode name/, /valid number/ ],   'required' : ['list', 'of', 'files'],   'ignored'  : ['.*', 'hidden.txt'],   'start_dir': '/path/to/dir/to/test/' }    split the filename based on the delimiter. check each of the parts.   because its an ordered list you can determine what parts are missing and if a section doesn't match any pattern it is malformed.  here the parts and patterns have a 1 to 1 ratio.  two arrays instead of a dictionary enforces the order.  ignored and required files can be listed.  the . and .. files should probably be ignored automatically.  the user should be allowed to input ""globs"" which can be shell expanded.  i'm thinking here of svn:ignore properties, but globbing is natural for listing files.  here start_dir would be default to the current directory but if you wanted a single file to run automated testing of a bunch of directories this would be useful.  the real loose end here is the path template and along the same lines what path is required for ""valid files"".  i really couldn't come up with a solid idea without writing one large regular expression and taking groups from it... to build a template.  it felt a lot like writing a textmate language grammar.  but that starts to stray on the ease of use.  the real problem was that the path template was not composed of parts, which makes sense but adds complexity.  is this strategy in tune with what you were thinking of  ",python validation naming
46,"it depends on what browser you use, but internet explorer, for example, would take you to the root directory of your harddrive (eg. c:/), while browsers such as firefox does nothing.  ",html css directory
47, popularity community contribution public scrutiny we will be forced to adhere to standards. (which will in turn make the product better) goodwill  ,open-source licensing
48,"i've been using forms authentication and creating the necessary genericidentity and customprincipal objects that allows me to leverage the user.isinrole type functions you typically only get with windows authentication.  that way in my web.config file, i can do stuff like...  &lt;location path=""login.aspx""&gt;    &lt;system.web&gt;       &lt;authorization&gt;          &lt;allow users =""*"" /&gt;       &lt;/authorization&gt;    &lt;/system.web&gt; &lt;/location&gt;  &lt;location path=""managementfolder""&gt;    &lt;system.web&gt;       &lt;authorization&gt;          &lt;allow roles =""administrator, manager"" /&gt;       &lt;/authorization&gt;    &lt;/system.web&gt; &lt;/location&gt;  ",asp.net authorization
49,"it has pretty extensive coverage up to .net 4.0 and even include some features from .net 4.5 apis, but there are a few areas that we have chosen not to implement due to the apis being deprecated, new alternatives being created or the scope being too large.   the following apis are not available in mono:   windows presentation foundation windows workflow foundation (neither of the two versions) entity framework the wse1/wse2 ""add-ons"" to the standard web services stack   additionally, our wcf implementation is limited to what silverlight supported.  the easiest way to check for your specific project is to run the mono migration analyzer (moma). the benefit is that it will notify the mono team of issues which will prevent you from using mono (if any), which lets them prioritize their work.  i recently ran moma on subsonic and found only one issue - a weird use of nullable types. that's a big codebase, so the coverage there was pretty impressive.  mono is in active use in several commercial as well as open source products. it's in use in some large applications, such as wikipedia and the mozilla developer center, and has been used in embedded applications such as the sansa mp3 players and powers thousands of published games.  at the language level, the mono compiler is fully compliant with the c# 5.0 language specification. ",.net open-source mono
50,"you'll also want to make sure that your ssh system is well secured to prevent people from logging in as your capistrano bot.  i'd suggest restricting access to password-protected key pairs.  encrypting the .yml file on the server is useless since you have to give the bot the key, which would be stored . . . on the same server.  encrypting it on your machine is probably a good idea.  capistrano can decrypt it before sending. ",ruby-on-rails security deployment
51,"delete the executable as part of a pre-link event.  edit: hah, i forgot about explorer resetting the creation date if you name a file exactly the same as a file that was recently deleted.  why are you keying off the creation date anyway  ",date executable
52,"if you're after things like server data, would rrdtool be something you're after  it's not really a webserver type stats program though, i have no idea how it would scale.  edit:  i've also just found splunk swarm, if you're interested in something that looks ""cool"". ",performance monitoring usage-statistics
53,"older ankhsvn (pre 2.0) was very crappy and i was only using it for shiny icons in the solution explorer. i relied on tortoise for everything except reverts.  the newer ankh is a complete rewrite (it is now using the source control api of the ide) and looks &amp; works much better. still, i haven't forced it to any heavy lifting. icons is enough for me.  the only gripe i have with 2.0 is the fact that it slaps its footprint to .sln files. i always revert them lest they cause problems for co-workers who do not have ankh installed. dunno if my fears are groundless or not.    addendum:  i have been using v2.1.7141 a bit more extensively for the last few weeks and here are the new things i have to add:   no ugly crashes that plagued v1.x. yay  for some reason, ""show changes"" (diff) windows are limited to only two. meh. diff windows do not allow editing/reverting yet. boo  updates, commits and browsing are much faster than tortoise. yay    all in all, i would not use it standalone, but once you start using it, it becomes an almost indispensable companion to tortoise. ",version-control ankhsvn
54,"http://en.wikipedia.org/wiki/printf#printf_format_placeholders is wikipedia's reference for format placeholders in printf. http://www.cplusplus.com/reference/clibrary/cstdio/printf.html is also helpful  basically in a simple form it's %[width].[precision][type]. width allows you to make sure that the variable which is being printed is at least a certain length (useful for tables etc). precision allows you to specify the precision a number is printed to (eg. decimal places etc) and the informs c/c++ what the variable you've given it is (character, integer, double etc).  hope this helps  update:  to clarify using your examples:  printf( ""%10.1f     %10.2\n"", radius, area );   %10.1f (referring to the first argument: radius) means make it 10 characters long (ie. pad with spaces), and print it as a float with one decimal place.  %10.2 (referring to the second argument: area) means make it 10 character long (as above) and print with two decimal places. ",c
55,"i'm guessing that the settings would have to be in powershell.exe.config in the powershell directory, but that seems to be a bad way of doing things.  you can use configurationmanager.openmappedexeconfiguration to open a configuration file based on the executing dll name, rather than the application exe, but this would obviously require changes to the dlls. ",powershell configuration-files
56,"i'd suggest that modifying the underlying xml file is ""considered harmful"".  especially if you haven't checked to see if the document is open   i've had a quick look at the scripting dictionary for pages, and it seems pretty comprehensive; here is part of one entry:     documentân [inh. document > item; see also standard suite] : a pages document.      elements      contains captured pages, character   styles, charts, graphics, images,   lines, list styles, pages, paragraph   styles, sections, shapes, tables, text   boxes.      properties      body text (text) : the main text flow of the document.      bottom margin (real) : the bottom margin of the publication.      facing pages (boolean) : whether or not the view is set to facing   pages.      footer margin (real) : the footer margin of the publication.      header margin (real) : the header margin of the publication.      id (integer, r/o) : the unique identifier of the document.      ...   so, i guess i'd want to know what it is that you want to do that you can't do with applescript  ",xml automation applescript iwork
57,"sure thing, the simplest way is this:  select foo from bar where baz in (1,2,3)  ",mysql
58,i found an interesting article about implementing a parser combinator in c#. it also references some more general papers on the subject.  the wikipedia article on the subject also has a general explaination of the concept.  ,parsing monads
59,two things i do:   i blog about it - this allows me to go back and search my own blog. we use the code snippet feature in visual studio.   cheers. ,knowledge-management
60,any semi-decent algorithm will end up with a strong chance of generating a null value somewhere in the resulting ciphertext.  why not do something like base-64 encode your resulting binary blob before persisting to the db  (sample implementation in c++). ,c++ encryption winapi
61,"i can't find any documentation that says you shouldn't use those methods directly, but i haven't looked very long.  also you refer to the editorvisibleattribute, which doesn't exist. according to reflector it's the editorbrowsableattribute.  reflector disassembly:  [editorbrowsable(editorbrowsablestate.never)] public bool checkaccess() { //code }  ",.net-3.5 intellisense
